player_id,games,minutes,mins_per_game,mins_pct,minutes_90s,game_starts,mins_per_start,games_completed,game_subs,mins_per_sub,unused_sub,PPM,onG,onGA,plus_minus,plus_minus_per90,plus_minus_wwo,onxG,onxGA,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wwo
449,1,1,1.0,0.0,0.0,0,0,0,1,1,33,1.0,0,0,0,0.0,0.42,0.0,0.1,-0.1,-6.96,-6.7
450,35,"2,977",85.0,87.0,33.1,33,88,30,2,34,1,1.0,36,51,-15,-0.45,1.78,36.5,43.5,-7.0,-0.21,0.72
451,32,"2,702",84.0,79.0,30.0,32,84,25,0,0,1,0.91,34,54,-20,-0.67,0.09,32.7,43.8,-11.1,-0.37,-0.31
452,31,"2,789",90.0,81.5,31.0,31,90,30,0,0,7,1.1,40,55,-15,-0.48,1.08,37.4,43.7,-6.3,-0.2,0.54
453,33,"2,341",71.0,68.5,26.0,29,78,12,4,19,0,0.91,21,47,-26,-1.0,-1.0,26.9,37.4,-10.6,-0.41,-0.32
454,32,"2,418",76.0,70.7,26.9,28,82,12,4,30,4,1.06,32,46,-14,-0.52,0.56,30.1,32.5,-2.4,-0.09,0.74
455,38,"2,561",67.0,74.9,28.5,25,85,18,13,34,0,0.95,38,53,-15,-0.53,0.63,33.6,39.9,-6.3,-0.22,0.33
456,26,"1,972",76.0,57.7,21.9,19,87,14,7,46,12,0.88,25,44,-19,-0.87,-0.43,26.8,33.7,-6.9,-0.32,-0.03
457,30,"1,946",65.0,56.9,21.6,19,79,10,11,40,1,0.97,23,34,-11,-0.51,0.41,25.6,29.5,-3.9,-0.18,0.29
458,27,"1,608",60.0,47.0,17.9,19,79,10,8,14,10,1.04,15,29,-14,-0.78,-0.19,20.9,22.5,-1.6,-0.09,0.41
459,21,"1,339",64.0,39.2,14.9,16,73,8,5,33,12,0.86,16,26,-10,-0.67,0.02,13.6,24.1,-10.6,-0.71,-0.67
460,14,"1,215",87.0,35.5,13.5,14,87,11,0,0,1,1.29,21,26,-5,-0.37,0.49,16.2,20.0,-3.8,-0.28,0.04
461,23,"1,205",52.0,35.2,13.4,14,73,6,9,20,5,0.83,17,24,-7,-0.52,0.25,15.0,19.1,-4.2,-0.31,-0.01
462,18,995,55.0,29.1,11.1,13,72,4,5,12,10,0.72,12,20,-8,-0.72,-0.06,10.9,19.2,-8.2,-0.75,-0.62
463,18,872,48.0,25.5,9.7,13,61,0,5,16,11,1.22,11,18,-7,-0.72,-0.05,10.4,13.1,-2.8,-0.28,0.03
464,13,856,66.0,25.0,9.5,13,66,2,0,0,17,0.54,6,19,-13,-1.37,-0.91,9.9,12.6,-2.6,-0.28,0.04
465,13,"1,011",78.0,29.6,11.2,12,83,7,1,19,8,1.08,14,17,-3,-0.27,0.59,13.7,15.3,-1.5,-0.14,0.24
